f_timestamp,f_id,cluster_data,heading,status
2025,415,1,177,STANDING
2025,416,1,177,STANDING
2025,417,1,177,STANDING
2025,418,1,177,STANDING
2025,419,1,177,STANDING
2025,420,1,177,STANDING
2025,421,1,177,STANDING
2025,422,1,177,STANDING
2025,423,1,177,STANDING
2025,424,1,177,STANDING
2025,425,1,177,STANDING
2025,426,1,177,STANDING
2025,427,1,177,STANDING
2025,428,1,177,STANDING
2025,429,1,177,STANDING
2025,430,1,177,STANDING
2025,431,1,177,STANDING
2025,432,1,177,STANDING
2025,433,1,177,STANDING
2025,434,1,177,STANDING
2025,435,1,177,STANDING
2025,436,1,177,STANDING
2025,437,1,177,STANDING
2025,438,1,177,STANDING
2025,439,1,177,STANDING
2025,440,1,177,STANDING
2025,441,1,177,STANDING
2025,442,1,177,STANDING
2025,443,1,177,STANDING
2025,444,1,177,STANDING
2025,445,1,177,STANDING
2025,446,1,177,STANDING
2025,447,1,177,STANDING
2025,448,1,177,STANDING
2025,449,1,177,STANDING
2025,450,1,177,STANDING
2025,451,1,177,STANDING
2025,452,1,177,STANDING
2025,453,1,177,STANDING
2025,454,1,177,STANDING
2025,455,1,177,STANDING
2025,456,1,177,STANDING
2025,457,1,177,STANDING
2025,458,1,177,STANDING
2025,459,1,177,STANDING
2025,460,1,177,STANDING
2025,461,1,177,STANDING
2025,462,1,177,STANDING
2025,463,1,177,STANDING
2025,464,1,177,STANDING
2025,465,1,177,STANDING
2025,466,1,177,STANDING
2025,467,1,177,STANDING
2025,468,1,177,STANDING
2025,469,1,177,STANDING
2025,470,1,177,STANDING
2025,471,1,177,STANDING
2025,472,1,177,STANDING
2025,473,1,177,STANDING
2025,474,1,177,STANDING
2025,475,1,177,STANDING
2025,476,1,177,STANDING
2025,477,1,177,STANDING
2025,478,1,177,STANDING
2025,479,1,177,STANDING
2025,480,1,177,STANDING
2025,481,1,177,STANDING
2025,482,1,177,STANDING
2025,483,1,177,STANDING
2025,484,1,177,STANDING
2025,485,1,177,STANDING
2025,486,1,177,STANDING
2025,487,1,177,STANDING
2025,488,1,177,STANDING
2025,489,1,177,STANDING
2025,490,1,177,STANDING
2025,491,1,177,STANDING
2025,492,1,177,STANDING
2025,493,1,177,STANDING
2025,494,1,177,STANDING
2025,495,1,177,STANDING
2025,496,1,177,STANDING
2025,497,1,177,STANDING
2025,498,1,177,STANDING
2025,499,1,177,STANDING
2025,500,1,177,STANDING
2025,501,1,177,STANDING
2025,502,1,177,STANDING
2025,503,1,177,STANDING
2025,504,1,177,STANDING
2025,505,1,177,STANDING
2025,506,1,177,STANDING
2025,507,1,177,STANDING
2025,508,1,177,STANDING
2025,509,1,177,STANDING
2025,510,1,177,STANDING
2025,511,1,177,STANDING
2025,512,1,177,STANDING
2025,513,1,177,STANDING
2025,514,1,177,STANDING
2025,515,1,177,STANDING
2025,516,1,177,STANDING
2025,517,1,177,STANDING
2025,518,1,177,STANDING
2025,519,1,177,STANDING
2025,520,1,177,STANDING
2025,521,1,177,STANDING
2025,522,1,177,STANDING
2025,523,1,177,STANDING
2025,524,1,177,STANDING
2025,525,1,177,STANDING
2025,526,1,177,STANDING
2025,527,1,177,STANDING
2025,528,1,177,STANDING
2025,529,1,177,STANDING
2025,530,1,177,STANDING
2025,531,1,177,STANDING
2025,532,1,177,STANDING
2025,533,1,177,STANDING
2025,534,1,177,STANDING
2025,535,1,177,STANDING
2025,536,1,177,STANDING
2025,537,1,177,STANDING
2025,538,1,177,STANDING
2025,539,1,177,STANDING
2025,540,1,177,STANDING
2025,541,1,177,STANDING
2025,542,1,177,STANDING
2025,543,1,177,STANDING
2025,544,1,177,STANDING
2025,545,1,177,STANDING
2025,546,1,177,STANDING
2025,547,1,177,STANDING
2025,548,1,177,STANDING
2025,549,1,177,STANDING
2025,550,1,177,STANDING
2025,551,1,177,STANDING
2025,552,1,177,STANDING
2025,553,1,177,STANDING
2025,554,1,177,STANDING
2025,555,1,177,STANDING
2025,556,1,177,STANDING
2025,557,1,177,STANDING
2025,558,1,177,STANDING
2025,559,1,177,STANDING
2025,560,1,177,STANDING
2025,561,1,177,STANDING
2025,562,1,177,STANDING
2025,563,1,177,STANDING
2025,564,1,177,STANDING
2025,565,1,177,STANDING
2025,566,1,177,STANDING
2025,567,1,177,STANDING
2025,568,1,177,STANDING
2025,569,1,177,STANDING
2025,570,1,177,STANDING
2025,571,1,177,STANDING
2025,572,1,177,STANDING
2025,573,1,177,STANDING
2025,574,1,177,STANDING
2025,575,1,177,STANDING
2025,576,1,177,STANDING
2025,577,1,177,STANDING
2025,578,1,177,STANDING
2025,579,1,177,STANDING
2025,580,1,177,STANDING
2025,581,1,177,STANDING
2025,582,1,177,STANDING
2025,583,1,177,STANDING
2025,584,1,177,STANDING
2025,585,1,177,STANDING
2025,586,1,177,STANDING
2025,587,1,177,STANDING
2025,588,1,177,STANDING
2025,589,1,177,STANDING
2025,590,1,177,STANDING
2025,591,1,177,STANDING
2025,592,1,177,STANDING
2025,593,1,177,STANDING
2025,594,1,177,STANDING
2025,595,1,177,STANDING
2025,596,1,177,STANDING
2025,597,1,177,STANDING
2025,598,1,177,STANDING
2025,599,1,177,STANDING
2025,600,1,177,STANDING
2025,601,1,177,STANDING
2025,602,1,177,STANDING
2025,603,1,177,STANDING
2025,604,1,177,STANDING
2025,605,1,177,STANDING
2025,606,1,177,STANDING
2025,607,1,177,STANDING
2025,608,1,177,STANDING
2025,609,1,177,STANDING
2025,610,1,177,STANDING
2025,611,1,177,STANDING
2025,612,1,177,STANDING
2025,613,1,177,STANDING
2025,614,1,177,STANDING
2025,615,1,177,STANDING
2025,616,1,177,STANDING
2025,617,1,177,STANDING
2025,618,1,177,STANDING
2025,619,1,177,STANDING
2025,620,1,177,STANDING
2025,621,1,177,STANDING
2025,622,1,177,STANDING
2025,623,1,177,STANDING
2025,624,1,177,STANDING
2025,625,1,177,STANDING
2025,626,1,177,STANDING
2025,627,1,177,STANDING
2025,628,1,177,STANDING
2025,629,1,177,STANDING
2025,630,1,177,STANDING
2025,631,1,177,STANDING
2025,632,1,177,STANDING
2025,633,1,177,STANDING
2025,634,1,177,STANDING
2025,635,1,177,STANDING
2025,636,1,177,STANDING
2025,637,1,177,STANDING
2025,638,1,177,STANDING
2025,639,1,177,STANDING
2025,640,1,177,STANDING
2025,641,1,177,STANDING
2025,642,1,177,STANDING
2025,643,1,177,STANDING
2025,644,1,177,STANDING
2025,645,1,177,STANDING
2025,646,1,177,STANDING
2025,647,1,177,STANDING
2025,648,1,177,STANDING
2025,649,1,177,STANDING
2025,650,1,177,STANDING
2025,651,1,177,STANDING
2025,652,1,177,STANDING
2025,653,1,177,STANDING
2025,654,1,177,STANDING
2025,655,1,177,STANDING
2025,656,1,177,STANDING
2025,657,1,177,STANDING
2025,658,1,177,STANDING
2025,659,1,177,STANDING
2025,660,1,177,STANDING
2025,661,1,177,STANDING
2025,662,1,177,STANDING
2025,663,1,177,STANDING
2025,664,1,177,STANDING
2025,665,1,177,STANDING
2025,666,1,177,STANDING
2025,667,1,177,STANDING
2025,668,1,177,STANDING
2025,669,1,177,STANDING
2025,670,1,177,STANDING
2025,671,1,177,STANDING
2025,672,1,177,STANDING
2025,673,1,177,STANDING
2025,674,1,177,STANDING
2025,675,1,177,STANDING
2025,676,1,177,STANDING
2025,677,1,177,STANDING
2025,678,1,177,STANDING
2025,679,1,177,STANDING
2025,680,1,177,STANDING
2025,681,1,177,STANDING
2025,682,1,177,STANDING
2025,683,1,177,STANDING
2025,684,1,177,STANDING
2025,685,1,177,STANDING
2025,686,1,177,STANDING
2025,687,1,177,STANDING
2025,688,1,177,STANDING
2025,689,1,177,STANDING
2025,690,1,177,STANDING
2025,691,1,177,STANDING
2025,692,1,177,STANDING
2025,693,1,177,STANDING
2025,694,1,177,STANDING
2025,695,1,177,STANDING
2025,696,1,177,STANDING
2025,697,1,177,STANDING
2025,698,1,177,STANDING
2025,699,1,177,STANDING
2025,700,1,177,STANDING
2025,701,1,177,STANDING
2025,702,1,177,STANDING
2025,703,1,177,STANDING
2025,704,1,177,STANDING
2025,705,1,177,STANDING
2025,706,1,177,STANDING
2025,707,1,177,STANDING
2025,708,1,177,STANDING
2025,709,1,177,STANDING
2025,710,1,177,STANDING
2025,711,1,177,STANDING
2025,712,1,177,STANDING
2025,713,1,177,STANDING
2025,714,1,177,STANDING
2025,715,1,177,STANDING
2025,716,1,177,STANDING
2025,717,1,177,STANDING
2025,718,1,177,STANDING
2025,719,1,177,STANDING
2025,720,1,177,STANDING
2025,721,1,177,STANDING
2025,722,1,177,STANDING
2025,723,1,177,STANDING
2025,724,1,177,STANDING
2025,725,1,177,STANDING
2025,726,1,177,STANDING
2025,727,1,177,STANDING
2025,728,1,177,STANDING
2025,729,1,177,STANDING
2025,730,1,177,STANDING
2025,731,1,177,STANDING
2025,732,1,177,STANDING
2025,733,1,177,STANDING
2025,734,1,177,STANDING
2025,735,1,177,STANDING
2025,736,1,177,STANDING
2025,737,1,177,STANDING
2025,738,1,177,STANDING
2025,739,1,177,STANDING
2025,740,1,177,STANDING
2025,741,1,177,STANDING
2025,742,1,177,STANDING
2025,743,1,177,STANDING
2025,744,1,177,STANDING
2025,745,1,177,STANDING
2025,746,1,177,STANDING
2025,747,1,177,STANDING
2025,748,1,177,STANDING
2025,749,1,177,STANDING
2025,750,1,177,STANDING
2025,751,1,177,STANDING
2025,752,1,177,STANDING
2025,753,1,177,STANDING
2025,754,1,177,STANDING
2025,755,1,177,STANDING
